nationality_code,inventor_count,share,nationality_name
GB,83591,0.34124764754630404,English
SA,58450,0.23861330764174937,Arabic
ES,36347,0.14838114444575987,Spanish
CN,32736,0.13363978167596763,Chinese
SE,7549,0.030817653710651257,Nordic
GM,6545,0.026718975167070138,Germanic
CZ,6299,0.025714717276909826,Slavic
JP,2011,0.008209604134603216,Japanese
FR,1877,0.007662569348906134,French
PL,1783,0.007278828529088779,Polish
GR,1301,0.005311136240238082,Greek
TR,1232,0.005029454149095555,Turkish
IT,938,0.003829243499879571,Italian
PT,937,0.0038251611507325776,Portuguese
NG,650,0.002653526945545545,Nigerian
IN,632,0.002580044660899668,Indian
KR,618,0.002522891772841764,Korean
IR,379,0.0015472103267104023,Persian
FI,356,0.00145331629632956,Finnish
LT,314,0.0012818576321558478,Lithuanian
HU,313,0.0012777752830088545,Hungarian
GE,52,0.0002122821556436436,Georgian
IS,47,0.00019187040990867785,Icelandic
