isco08_code,isco08_label,exposure_score,n_tasks,employment_female,employment_male,year,employment_total,female_share,is_clerical
41,General and keyboard clerks,4.714285714285714,28,293.28,69.042,2025,362.322,0.8094457416331329,True
43,Numerical and material recording clerks,3.838709677419355,31,332.228,158.806,2025,491.034,0.6765885865337228,True
25,Information and communications technology professionals,3.8214285714285716,56,92.327,309.407,2025,401.734,0.22982122498966978,False
44,Other clerical support workers,3.735294117647059,34,50.932,32.903,2025,83.83500000000001,0.607526689330232,True
42,Customer services clerks,3.7,70,221.355,78.79,2025,300.145,0.7374935447866865,True
24,Business and administration professionals,3.522727272727273,88,413.504,335.654,2025,749.158,0.5519583318872654,False
33,Business and administration associate professionals,2.84,150,569.092,352.367,2025,921.4590000000001,0.6175988296820585,False
35,Information and communications technicians,2.5952380952380953,42,20.038,70.591,2025,90.62899999999999,0.22109920665570626,False
26,"Legal, social and cultural professionals",1.903030303030303,165,289.694,160.185,2025,449.879,0.6439375921081002,False
52,Sales workers,1.8888888888888888,81,564.236,338.955,2025,903.191,0.6247139309404102,False
14,"Hospitality, retail and other services managers",1.6666666666666667,36,209.903,243.25,2025,453.153,0.4632055839859826,False
21,Science and engineering professionals,1.4739336492890995,211,140.342,351.684,2025,492.02600000000007,0.28523289419664816,False
12,Administrative and commercial managers,1.435483870967742,62,228.804,232.025,2025,460.829,0.49650521126057606,False
13,Production and specialised services managers,1.205298013245033,151,204.753,419.023,2025,623.7760000000001,0.3282476401785256,False
82,Assemblers,1.0,15,7.344,21.19,2025,28.534000000000002,0.25737716408495126,False
34,"Legal, social, cultural and related associate professionals",0.9659090909090909,88,240.543,208.979,2025,449.52200000000005,0.535108404038067,False
23,Teaching professionals,0.8376068376068376,117,519.65,221.569,2025,741.2189999999999,0.7010748510224374,False
96,Refuse workers and other elementary workers,0.7083333333333334,48,16.389,88.855,2025,105.244,0.15572384173919654,False
11,"Chief executives, senior officials and legislators",0.6590909090909091,44,43.447,91.048,2025,134.495,0.3230380311535745,False
32,Health associate professionals,0.6031746031746031,126,199.011,70.282,2025,269.293,0.739012896733298,False
31,Science and engineering associate professionals,0.39444444444444443,180,40.589,183.482,2025,224.071,0.18114347684439308,False
83,Drivers and mobile plant operators,0.391304347826087,69,53.802,537.337,2025,591.139,0.09101412696506236,False
51,Personal service workers,0.3125,128,394.03,178.924,2025,572.954,0.6877166404283764,False
22,Health professionals,0.30656934306569344,137,618.257,221.484,2025,839.741,0.7362472476632675,False
53,Personal care workers,0.25,36,642.282,161.314,2025,803.596,0.7992598270772876,False
73,Handicraft and printing workers,0.11666666666666667,120,8.609,29.293,2025,37.902,0.22713840958260778,False
75,"Food processing, wood working, garment and other craft and related trades workers",0.08092485549132948,173,44.334,120.76,2025,165.094,0.26853792384944336,False
81,Stationary plant and machine operators,0.03980099502487562,201,71.036,158.7,2025,229.736,0.3092070898770763,False
61,Market-oriented skilled agricultural workers,0.0,96,51.112,201.19,2025,252.302,0.2025826192420195,False
62,"Market-oriented skilled forestry, fishery and hunting workers",0.0,44,0.502,6.883,2025,7.385,0.06797562626946513,False
71,"Building and related trades workers, excluding electricians",0.0,77,19.68,532.829,2025,552.5089999999999,0.03561932927789412,False
72,"Metal, machinery and related trades workers",0.0,96,11.553,365.099,2025,376.652,0.03067287575799412,False
54,Protective services workers,0.0,28,54.252,156.244,2025,210.496,0.2577341137123746,False
91,Cleaners and helpers,0.0,30,131.382,98.591,2025,229.973,0.571293151804777,False
92,"Agricultural, forestry and fishery labourers",0.0,53,27.174,67.55,2025,94.72399999999999,0.2868755542417972,False
93,"Labourers in mining, construction, manufacturing and transport",0.0,53,86.416,314.061,2025,400.477,0.21578267915510754,False
94,Food preparation assistants,0.0,15,91.137,107.53,2025,198.667,0.4587425188883911,False
74,Electrical and electronic trades workers,0.0,37,9.08,264.929,2025,274.00899999999996,0.033137597670149524,False
