Country,Year,NEET_rate,Male,Female,gdp_per_capita,tertiary_enrollment
Aruba,2010,16.56,17.4,15.64,24093.1401510626,36.0625305175781
Albania,2024,21.029,19.611,22.545,11374.0085781236,84.1496200561523
United Arab Emirates,2023,8.917,5.95,14.891,49850.6945082084,61.3456114422447
Armenia,2023,20.177,16.985,23.02,8159.08720967996,56.2770051010456
Azerbaijan,2010,9.64,6.96,12.39,5843.5337683582,19.2600431394615
Benin,2022,14.241,11.766,16.746,1266.42711031904,10.2350101470947
Bangladesh,2024,15.431,10.882,19.727,2593.41611680774,23.7295608009814
Belarus,2024,65.734,65.828,65.634,8605.60954569694,70.1107509145358
Belize,2019,24.884,14.698,34.817,6171.61449761423,25.138736158351
Bermuda,2010,6.79,8.18,5.48,104111.824244802,36.5495414733887
Barbados,2016,28.993,32.151,25.882,20311.4094163764,52.0533712473342
Botswana,2024,37.998,37.794,38.211,7649.81663744354,21.4087908549348
China,2000,12.688,10.948,14.492,969.199513696287,7.57777976989746
Cameroon,2021,23.223,14.703,30.418,1672.32657340872,17.1581831920239
Algeria,2017,20.95,10.94,31.69,4554.66753957828,49.177689984383
Fiji,2024,20.786,15.348,26.894,6425.74151715712,75.0089752283697
Ghana,2024,23.91,21.501,26.283,2419.2518672482,21.330810546875
Indonesia,2023,21.365,16.694,26.323,4876.2992959843,44.8813034886441
India,2025,25.554,12.15,39.728,2702.47987141553,34.4465039692543
Israel,2024,15.266,14.828,15.692,54216.5218142787,56.2561111450195
Jordan,2024,29.39,25.952,33.066,5073.92103605892,35.9184001120427
Japan,2019,3.14,2.73,3.76,41424.8655601543,62.4008407592773
Kazakhstan,2016,9.491,,,7475.56688689424,46.0492258820674
Cambodia,2023,6.315,4.333,8.342,2429.74853452838,17.4362364390629
Lebanon,2019,23.518,17.91,28.889,8905.88005497437,50.1483937104215
Morocco,2014,35.275,16.567,53.911,3435.40698242188,25.3112415031422
Madagascar,2022,24.327,18.442,29.998,504.059106969168,5.87562673022926
Maldives,2019,26.27,24.072,28.506,11740.2724029785,24.6480059688561
Mauritania,2019,44.085,32.026,54.847,1767.072710621,5.88823986461851
Mauritius,2024,13.944,10.884,16.911,11990.9355434317,45.7771156388358
Malaysia,2022,10.22,9.91,10.57,11754.5678336248,36.9853099297291
Namibia,2018,31.884,29.372,34.341,5308.60813408705,23.7001690404035
Nepal,2017,34.763,21.156,45.817,1034.28374906846,11.4357824790838
New Zealand,2024,12.78,12.41,13.16,49432.3626396797,77.2406463623047
Philippines,2023,12.362,9.326,15.554,3804.08274131718,44.2394203278519
Palau,2023,11.273,12.252,10.042,15578.3497630733,41.130604288499
Senegal,2024,35.174,26.637,43.655,1738.73223822106,15.3302400879779
El Salvador,2024,20.536,11.136,29.891,5503.10317151907,32.8347079463918
Thailand,2025,12.409,10.5,14.327,8056.56359761558,49.0776442074561
Tajikistan,2016,41.328,26.314,57.628,788.710481734485,28.5179100036621
Tonga,2023,25.611,23.255,27.826,5651.59357939286,42.8611738148984
Trinidad and Tobago,2024,15.847,13.631,18.035,18733.4110406494,23.8493010569383
Tunisia,2023,22.648,24.43,20.791,3951.11683376921,38.1219482421875
Ukraine,2017,16.47,13.46,19.65,2604.28759765625,80.1990246943391
Viet Nam,2024,10.253,9.189,11.379,4716.6599379632,37.5923642016718
Samoa,2022,30.09,27.611,32.725,4132.44717734444,18.5508413272527
Zimbabwe,2024,35.994,28.689,42.968,2496.15514995576,7.74912957845971
