countryiso3code,date,value
AFE,2019,1507.08559963484
AFW,2019,2216.38505520833
ARB,2019,6674.34224402621
CSS,2019,13995.8548364074
CEB,2019,16534.9264870407
EAR,2019,3483.31545469615
EAS,2019,11622.8915284736
EAP,2019,8286.3981179292
TEA,2019,8379.36503263574
EMU,2019,39220.5136743355
ECS,2019,25020.8648271756
ECA,2019,6069.27407282315
TEC,2019,9058.74177112172
EUU,2019,35374.1403676934
FCS,2019,1861.6533045303
HPC,2019,983.900062178744
,2019,41342.2066107349
IBD,2019,6476.07259783679
IBT,2019,5167.89523774326
IDB,2019,2205.87361894796
IDX,2019,1186.40559680864
IDA,2019,1544.27890067061
LTE,2019,10120.3125161359
LCN,2019,8539.39776066424
LAC,2019,8282.78290882792
TLA,2019,8362.63429845968
LDC,2019,1105.24693378698
LMY,2019,4943.24879858439
,2019,645.998249720369
,2019,2228.84805859217
MEA,2019,5412.42875673528
MNA,2019,2695.63342343005
TMN,2019,2688.96932958269
MIC,2019,5353.79775844374
NAC,2019,62874.6117089583
,2019,
OED,2019,39708.8864576635
OSS,2019,12907.6162560274
PSS,2019,4136.34140894161
PST,2019,45840.3536114764
PRE,2019,1681.19065754666
SST,2019,11990.4670996465
SAS,2019,2067.05975687637
TSA,2019,2067.05975687637
SSF,2019,1795.5612786554
SSA,2019,1907.22499436387
TSS,2019,1795.5612786554
,2019,8657.73234539015
WLD,2019,11376.0818134476
AFG,2019,496.6025042585
ALB,2019,6069.43903131027
DZA,2019,4468.45341883656
ASM,2019,12886.1359517218
AND,2019,41257.816459345
AGO,2019,2493.67884440177
ATG,2019,18896.3721832248
ARG,2019,9955.97478680428
ARM,2019,4597.22887399548
ABW,2019,30645.8906024548
AUS,2019,55194.7585097428
AUT,2019,49885.9947355204
AZE,2019,4805.75371765917
BHS,2019,33640.3369861278
BHR,2019,27259.7438599327
BGD,2019,2129.79896954606
BRB,2019,21912.1501242857
BLR,2019,6837.77339645635
BEL,2019,46716.6227467964
BLZ,2019,6171.61449761423
BEN,2019,1130.82135339795
BMU,2019,115798.040775578
BTN,2019,3576.87987100503
BOL,2019,4203.15492855788
BIH,2019,6122.37541352353
BWA,2019,7172.08956480028
BRA,2019,9029.83304401079
VGB,2019,
BRN,2019,30426.5730656528
BGR,2019,10353.7204584127
BFA,2019,764.853077774946
BDI,2019,234.31061590725
CPV,2019,4380.78117331128
KHM,2019,2225.87705485686
CMR,2019,1555.22660476477
CAN,2019,46352.8693445211
CYM,2019,88254.2902486867
CAF,2019,449.228467602439
TCD,2019,893.336441643325
CHI,2019,60564.6293993681
CHL,2019,14495.716721687
CHN,2019,10342.9009524335
COL,2019,6472.54544924705
COM,2019,1510.23218151592
COD,2019,504.00419142286
COG,2019,2488.42466724916
CRI,2019,12884.6859951989
CIV,2019,2141.76836170115
HRV,2019,15563.5987295029
CUB,2019,9232.26115935183
CUW,2019,19220.6865793075
CYP,2019,29227.173828125
CZE,2019,24062.7190013343
DNK,2019,59404.2663247723
DJI,2019,2837.16902340932
DMA,2019,9491.14995962374
DOM,2019,8183.01623600375
ECU,2019,6205.05765246766
EGY,2019,2962.98892023003
SLV,2019,4320.11671534627
GNQ,2019,6804.14923073888
ERI,2019,
EST,2019,24021.2501413306
SWZ,2019,3913.14577547336
ETH,2019,793.473247210264
FRO,2019,63068.2872688483
FJI,2019,5842.07344577597
FIN,2019,48358.1807773701
FRA,2019,40408.2848574751
PYF,2019,21582.5892046801
GAB,2019,7441.1786472281
GMB,2019,738.186751987483
GEO,2019,4741.2832715876
DEU,2019,47656.199739747
GHA,2019,2186.65822682613
GIB,2019,
GRC,2019,19335.3602002969
GRL,2019,53309.2035905065
GRD,2019,10462.7929159533
GUM,2019,39274.9431424899
GTM,2019,4511.99839552697
GIN,2019,1031.34146480732
GNB,2019,811.216425885129
GUY,2019,6405.82443444562
HTI,2019,1352.17204191532
HND,2019,2502.32744328073
HKG,2019,48359.0011950597
HUN,2019,17012.8598553199
ISL,2019,69296.3144361601
IND,2019,2041.42863698585
IDN,2019,4106.94856160358
IRN,2019,3997.4935449585
IRQ,2019,5671.8568632942
IRL,2019,81827.6688873996
IMN,2019,87127.5517977404
ISR,2019,44250.6313628073
ITA,2019,33812.788724868
JAM,2019,6030.68896415921
JPN,2019,40415.9567649547
JOR,2019,4170.1144003465
KAZ,2019,9457.12614657136
KEN,2019,1960.40808854893
KIR,2019,1750.9977188915
PRK,2019,
KOR,2019,33826.9443301597
XKX,2019,4415.99923011071
KWT,2019,31707.8737443551
KGZ,2019,1421.99927504102
LAO,2019,2589.32081035237
LVA,2019,17294.9751600969
LBN,2019,8905.88005497437
LSO,2019,1082.05706777516
LBR,2019,658.164180770507
LBY,2019,9963.19489084483
LIE,2019,166907.839305016
LTU,2019,19608.7943945553
LUX,2019,112696.649059674
MAC,2019,81882.6964523869
MDG,2019,499.818837622534
MWI,2019,580.889139762475
MYS,2019,10920.191763972
MDV,2019,11740.2724029785
MLI,2019,971.949318638092
MLT,2019,32421.9179752262
MHL,2019,5292.33985502306
MRT,2019,1767.072710621
MUS,2019,11568.2533399824
MEX,2019,10369.5553585271
FSM,2019,3572.65918282222
MDA,2019,4405.33418162155
MCO,2019,193746.785647412
MNG,2019,4347.54610314873
MNE,2019,8749.02375172644
MAR,2019,3508.09765625
MOZ,2019,519.09255091362
MMR,2019,1425.98954241668
NAM,2019,4731.9210318831
NRU,2019,10801.7705659635
NPL,2019,1203.14294706401
NLD,2019,53554.9007491475
NCL,2019,33411.3358835672
NZL,2019,42855.831861632
NIC,2019,1958.62051528095
NER,2019,561.691304349698
NGA,2019,3189.81286498516
MKD,2019,6718.85826635458
MNP,2019,24496.6652122421
NOR,2019,76430.5889473338
OMN,2019,19180.1864152801
PAK,2019,1390.41690981745
PLW,2019,15846.7968470167
PAN,2019,16477.9066268111
PNG,2019,2575.77274140393
PRY,2019,5821.18199548738
PER,2019,7037.00803692604
PHL,2019,3400.78949767074
POL,2019,15874.5220531254
PRT,2019,23343.3628970034
PRI,2019,31830.5284993358
QAT,2019,66841.3623185691
ROU,2019,12909.6104013244
RUS,2019,11447.701171875
RWA,2019,810.051412137354
WSM,2019,4351.94234943706
SMR,2019,46630.1443120725
STP,2019,1935.2931816596
SAU,2019,29566.7933827436
SEN,2019,1431.18128932159
SRB,2019,7755.632986437
SYC,2019,19141.5118743615
SLE,2019,843.712517809977
SGP,2019,65952.0378959293
SXM,2019,34861.469528968
SVK,2019,19406.0589683582
SVN,2019,25814.1687167572
SLB,2019,2223.65890942466
SOM,2019,539.954816211694
ZAF,2019,6533.71121032856
SSD,2019,
ESP,2019,29786.5245689007
LKA,2019,4081.94772722003
KNA,2019,23595.4923231291
LCA,2019,11794.0597229805
MAF,2019,19033.0649634889
VCT,2019,8740.59425232061
SDN,2019,709.975280761719
SUR,2019,6629.66775248603
SWE,2019,51648.9892820514
CHE,2019,84121.9310304414
SYR,2019,1109.53926036049
TJK,2019,871.022372934846
TZA,2019,1063.32250976563
THA,2019,7605.69657797759
TLS,2019,1562.36458068032
TGO,2019,826.255209019798
TON,2019,4788.83342304684
TTO,2019,17212.6128892163
TUN,2019,3528.87213306798
TUR,2019,9395.23378001368
TKM,2019,5998.0017434754
TCA,2019,31780.5217068989
TUV,2019,5115.13075950206
UGA,2019,822.171150036357
UKR,2019,3619.86157226563
ARE,2019,45938.6073581994
GBR,2019,43158.7411267323
USA,2019,64746.4506778863
URY,2019,18315.7316980028
UZB,2019,2041.38480729431
VUT,2019,3207.44650452083
VEN,2019,2523.11275230667
VNM,2019,3440.90025375434
VIR,2019,38633.5298915336
PSE,2019,3656.85827137011
YEM,2019,
ZMB,2019,1258.98619844462
ZWE,2019,2184.32923855469
